fatalities,weekdaty,time_period
35,"Tuesday",10/01/2023 14:00:00
53,"Tuesday",10/01/2023 15:00:00
51,"Tuesday",10/01/2023 16:00:00
57,"Tuesday",10/01/2023 17:00:00
39,"Tuesday",10/01/2023 18:00:00
37,"Tuesday",10/01/2023 19:00:00
26,"Tuesday",10/01/2023 20:00:00
33,"Tuesday",10/01/2023 21:00:00
28,"Tuesday",10/01/2023 22:00:00
21,"Tuesday",10/01/2023 23:00:00
25,"Wednesday",10/01/2023 00:00:00
14,"Wednesday",10/01/2023 01:00:00
6,"Wednesday",10/01/2023 02:00:00
13,"Wednesday",10/01/2023 03:00:00
12,"Wednesday",10/01/2023 04:00:00
31,"Wednesday",10/01/2023 05:00:00
43,"Wednesday",10/01/2023 06:00:00
23,"Wednesday",10/01/2023 07:00:00
25,"Wednesday",10/01/2023 08:00:00
37,"Wednesday",10/01/2023 09:00:00
40,"Wednesday",10/01/2023 10:00:00
47,"Wednesday",10/01/2023 11:00:00
45,"Wednesday",10/01/2023 12:00:00
50,"Wednesday",10/01/2023 13:00:00
66,"Wednesday",10/01/2023 14:00:00
58,"Wednesday",10/01/2023 15:00:00
57,"Wednesday",10/01/2023 16:00:00
44,"Wednesday",10/01/2023 17:00:00
52,"Wednesday",10/01/2023 18:00:00
32,"Wednesday",10/01/2023 19:00:00
28,"Wednesday",10/01/2023 20:00:00
30,"Wednesday",10/01/2023 21:00:00
26,"Wednesday",10/01/2023 22:00:00
36,"Wednesday",10/01/2023 23:00:00
